Suit of Card 1,Suit of Card 2,Suit of Card 3,Suit of Card 4,Suit of Card 5,Rank of Card 1,Rank of Card 2,Rank of Card 3,Rank of Card 4,Rank of Card 5,Poker Hand,Unique Ranks,Unique Suits,Hand Strength,Max Rank Frequency,Fold,Check,Call,Raise,All-In
0,0,0,0,0,9,11,3,2,6,0,5,2,5,1,0.0571626310915088,0.1195176463344624,0.2880961269571322,0.4118393801946857,0.1233842154222108
1,0,1,1,0,9,2,7,12,12,1,4,3,1,2,0.2120957421427649,0.5667889904236137,0.0627641929135203,0.1190576114944567,0.0392934630256441
0,1,0,1,1,12,9,13,3,9,1,4,3,1,2,0.220874568395847,0.5632129184563749,0.0724808845093213,0.109365250976435,0.0340663776620216
1,0,0,0,0,4,9,12,10,7,0,5,3,0,1,0.1950374775508448,0.5917077120823494,0.0835879545079355,0.1001768092719288,0.0294900465869414
0,0,0,0,0,12,10,13,2,8,0,5,3,5,1,0.0366641956055906,0.1206812955709775,0.3002523922348007,0.3636559900512693,0.1787461265373617
1,0,0,0,0,11,11,6,9,6,3,3,3,2,2,0.2321355370810008,0.5781701383532724,0.0423548964150771,0.1310422360640486,0.016297192086601
0,0,0,0,0,7,3,12,13,4,0,5,3,5,1,0.0623253669224257,0.124957711864665,0.3157517465950599,0.3574920648306859,0.1394731097871634
0,0,1,0,1,9,3,2,10,11,4,5,3,0,1,0.2563210730691367,0.5571838394412781,0.0511103906175762,0.1057272287058443,0.0296574681661645
1,1,0,0,0,7,4,3,10,13,0,5,3,0,1,0.2221521190444452,0.5594014180862453,0.0783584661832292,0.1103891069211243,0.0296988897649559
0,0,0,0,0,2,13,3,4,11,4,5,2,5,1,0.043701317959795,0.1035274563116089,0.3128186629769341,0.3594396336314311,0.1805129291202306
0,0,0,0,1,7,12,6,8,7,1,4,3,1,2,0.192437767595204,0.5750411069165282,0.0620191803005773,0.1319487630893247,0.0385531820983657
0,0,0,1,0,13,3,5,13,4,1,4,3,1,2,0.1834662282785824,0.6139802272103161,0.0552678680156803,0.1083738706096401,0.0389118058857809
0,1,1,0,1,5,9,5,11,3,1,4,3,1,2,0.2151835240379514,0.5959917497507955,0.0595367042795793,0.1165365369490772,0.0127514849825964
0,0,0,0,0,8,10,6,5,2,0,5,3,5,1,0.0427170072752207,0.0874945919171628,0.2551078935537644,0.423301673051812,0.1913788342020399
0,0,0,0,1,7,12,7,13,3,1,4,2,1,2,0.201882196730346,0.5862660759144253,0.0530020017036767,0.1386554267855992,0.0201942988659528
0,0,0,1,0,11,2,4,6,12,0,5,4,0,1,0.2172446666795175,0.5544864170290584,0.0436931857284584,0.1593582780547142,0.0252174525082514
1,0,0,0,1,3,5,7,4,11,0,5,3,0,1,0.1968550798282086,0.561335392445711,0.0721029959991402,0.1351237616567359,0.0345827700702042
0,0,0,1,0,12,4,13,5,8,4,5,3,0,1,0.2035167129840925,0.5932698279919697,0.0561207050472654,0.1136254566555303,0.0334672973211419
0,0,1,0,1,2,4,4,10,5,1,4,4,1,2,0.2346490712959089,0.5344438846126871,0.0851098260656261,0.1293814561646422,0.0164157618611356
1,0,1,0,1,9,8,12,12,5,1,4,3,1,2,0.2440347574421298,0.5692560150740382,0.0515114622498102,0.1161143087979817,0.0190834564360399
0,0,0,1,0,9,3,6,5,7,4,5,4,0,1,0.1969904011246771,0.6174534990305756,0.0663716247429826,0.0994980628013014,0.0196864123004631
0,0,0,0,0,11,5,4,13,2,0,5,2,5,1,0.083793599593753,0.1290495520673383,0.2660794381140633,0.398181823826213,0.1228955863986322
0,0,0,0,1,12,6,11,4,7,0,5,3,0,1,0.1820630269506073,0.5630383215286794,0.0643595673793041,0.148195758215259,0.0423433259261501
0,0,0,1,0,7,5,5,4,11,1,4,4,1,2,0.1957553061161969,0.5994494741007218,0.0454794291641502,0.1406937560250543,0.0186220345938766
0,0,0,0,0,12,2,11,5,11,1,4,3,5,2,0.0515716364300809,0.1328555285815347,0.3289041603401227,0.2972558226789042,0.1894128519693573
0,0,1,0,1,2,11,4,3,3,1,4,4,1,2,0.1860504178780505,0.5609373473022309,0.0870624376203037,0.1535375555137988,0.012412241685616
0,0,0,0,0,8,12,8,11,4,1,4,3,5,2,0.0480197289154672,0.1364765401460702,0.2342752965587301,0.3723464594037788,0.2088819749759535
0,0,1,0,0,7,8,5,3,3,1,4,4,1,2,0.1861702198070063,0.5635833297870025,0.0626234613650239,0.1633545486055283,0.0242684404354388
0,0,0,0,0,10,2,6,12,10,1,4,2,5,2,0.0463596445022753,0.0793529298386181,0.3191423675431981,0.3733852240754104,0.1817598340404979
1,0,1,0,0,12,7,2,8,6,0,5,3,0,1,0.2358151514449227,0.538247111215344,0.0547582526191367,0.140175255297384,0.0310042294232124
0,1,1,1,0,12,13,7,6,8,4,5,3,0,1,0.2347284919597857,0.5683075545505912,0.0816009371111892,0.1007135889867881,0.0146494273916456
0,1,0,1,0,6,3,2,10,3,1,4,3,1,2,0.1962397432011274,0.6008968720860604,0.0828010719064275,0.1071221297596183,0.0129401830467663
0,1,0,0,1,3,2,13,9,7,0,5,4,0,1,0.2035505991333918,0.5166102384435396,0.0792360612208523,0.1635049718793425,0.0370981293228735
0,0,1,0,1,12,4,6,2,12,1,4,3,1,2,0.189385017812241,0.6164289066002842,0.0572048861984661,0.1022846266003108,0.0346965627886978
0,0,1,0,0,5,2,6,11,13,4,5,2,0,1,0.1942554652969287,0.5633820868787174,0.051468614417167,0.1593632124130431,0.0315306209941437
0,0,0,1,0,10,4,8,7,10,1,4,3,1,2,0.2204844469319674,0.5733972206655013,0.0596698253074018,0.1165600423838073,0.0298884647113221
1,1,0,1,0,2,10,10,11,10,3,3,2,3,3,0.1814797310161103,0.5624536980308125,0.0515026755979879,0.1685161338040962,0.036047761550993
0,0,0,0,1,5,9,8,5,6,1,4,3,1,2,0.2301259732952731,0.5793158025273882,0.0632096625440223,0.1011898926613862,0.02615866897193
0,0,1,0,0,12,12,6,6,11,2,3,4,2,2,0.2083967843785115,0.6314295376654427,0.0529500191234582,0.0958531044156964,0.011370554416891
0,0,0,0,0,2,4,10,5,11,0,5,2,5,1,0.0526142012735314,0.089826938159101,0.3366272238719647,0.4211951208746179,0.0997365158207849
0,0,0,0,1,8,8,2,7,11,1,4,4,1,2,0.2041796300413806,0.6034920939625111,0.0728999954892808,0.0927601997799145,0.0266680807269127
0,1,1,0,1,10,4,13,3,9,0,5,3,0,1,0.2106139046251047,0.599443118132529,0.0787824171619483,0.0977059991369617,0.0134545609434559
0,0,0,1,0,4,8,2,13,9,0,5,4,0,1,0.1916515895939526,0.585338494596981,0.0778165050636463,0.1293969316058592,0.0157964791395607
0,0,0,0,0,13,5,2,7,11,4,5,2,5,1,0.0774371941245951,0.0945555076189267,0.3348032551722517,0.3738091948586914,0.1193948482255348
0,0,0,0,0,9,4,13,13,10,1,4,3,5,2,0.0669921241737641,0.1363059988612078,0.2365907950192611,0.3894007186933714,0.1707103632523954
0,0,0,0,0,4,10,3,7,7,1,4,1,5,2,0.0595040718236899,0.0943894842236607,0.2623363870841262,0.3809895931911426,0.2027804636773805
0,0,0,0,0,13,9,11,9,10,1,4,2,5,2,0.0547417847556491,0.0883426837720788,0.3729118503111449,0.3575910625440797,0.1264126186170472
0,0,0,0,1,5,7,11,11,9,1,4,3,1,2,0.2334362079494066,0.5813245887595133,0.0585054258776655,0.1065841420563963,0.0201496353570181
0,0,1,0,0,12,3,2,13,12,1,4,3,1,2,0.2038621038550978,0.6000971927913096,0.0661581180572381,0.113877871473539,0.0160047138228153
0,0,0,0,0,6,3,5,4,7,4,5,3,8,1,0.0728279190122567,0.0746598559781904,0.2832586469932629,0.3619108891303035,0.2073426888859865
0,1,0,0,1,2,5,7,9,4,4,5,2,0,1,0.2257893193428733,0.584732052589624,0.0490137979501949,0.1061880031772824,0.0342768269400252
1,0,0,0,1,6,2,6,4,11,1,4,2,1,2,0.1984579035551644,0.5402208380965776,0.0715598165451631,0.1695160724435402,0.0202453693595545
0,0,0,0,0,11,10,13,5,4,4,5,2,5,1,0.0574510696687685,0.1359602801608866,0.311349120192238,0.4025780268367002,0.0926615031414066
0,0,0,1,0,4,13,12,7,5,4,5,4,0,1,0.2122270595770224,0.5289867173006682,0.0642484373546013,0.1547214871227703,0.0398162986449377
0,1,0,1,0,9,3,2,5,6,4,5,4,0,1,0.2187421864296811,0.5714016522738918,0.0529642028722901,0.1191793850691413,0.0377125733549956
0,1,0,0,0,7,2,7,11,11,2,3,4,2,2,0.2195987146062991,0.5872965070838748,0.0623831267127165,0.1068495183068447,0.0238721332902646
0,0,1,0,0,10,3,11,13,6,0,5,4,0,1,0.2007981403003486,0.6016930180357235,0.044364322234416,0.1185601189486388,0.0345844004808729
0,0,1,0,0,8,10,8,13,10,3,3,3,2,2,0.2117552368767734,0.5762010581761178,0.0655152410940923,0.1114762308072208,0.0350522330457955
0,0,0,0,0,3,9,2,12,4,0,5,3,5,1,0.0544865610158944,0.1302429879486652,0.3322179806007613,0.36873313543018,0.114319335004499
1,0,1,1,0,6,11,8,13,3,0,5,2,0,1,0.2010025914346955,0.6087684755772762,0.0644137991251429,0.1006467632841734,0.0251683705787119
0,1,0,0,0,12,3,2,13,8,4,5,4,0,1,0.2324882061175101,0.5887689601611084,0.0457404084335518,0.1096583049062822,0.0233441203815475
0,0,0,0,0,13,5,6,11,2,4,5,2,5,1,0.0567560092115214,0.0996749181135881,0.2971629000338032,0.4067315666698097,0.1396746059712774
0,0,0,0,0,9,7,10,11,12,0,5,2,5,1,0.0490559085650771,0.0995327631913277,0.296935303911472,0.4189716027716287,0.1355044215604943
0,0,1,0,0,13,2,5,8,7,4,5,3,0,1,0.2045266148407362,0.5550416599049611,0.0504743991331776,0.1520648538436023,0.0378924722775225
1,0,0,1,0,7,13,9,5,6,0,5,4,0,1,0.2157329420427482,0.5552183813057292,0.0714587222915546,0.1224577381026675,0.0351322162573003
0,0,1,0,0,8,8,2,2,3,2,3,3,2,2,0.209806856315812,0.617170483255144,0.0600466112344132,0.1016834740739375,0.0112925751206932
0,0,0,0,0,6,13,7,12,3,4,5,3,5,1,0.0569370401222995,0.104737457102744,0.255851701220909,0.3985927951817998,0.1838810063722475
1,1,0,0,0,4,2,8,5,6,4,5,3,0,1,0.2411071960246782,0.5100194932694141,0.0443592475541653,0.1640516243984847,0.0404624387532574
1,0,1,0,1,9,12,6,9,11,1,4,2,1,2,0.1826532696911967,0.6230664098541887,0.0822227329567576,0.0903730701408651,0.0216845173569918
0,1,0,0,0,12,13,12,2,11,1,4,4,1,2,0.1990480165103639,0.6028706820730334,0.0384705381920242,0.1309875227540589,0.0286232404705195
0,1,1,1,1,6,5,9,6,6,2,3,2,3,3,0.210723091723378,0.5435549436805154,0.0536353303866813,0.1585335138134574,0.0335531203959677
1,0,0,1,0,8,2,10,5,5,1,4,3,1,2,0.1989898529096362,0.5910905988469372,0.0769330830099966,0.1164405615826143,0.0165459036508156
0,0,1,1,0,12,5,8,9,9,1,4,4,1,2,0.209750032627887,0.5668094932453488,0.0465814570014628,0.1392457446722999,0.0376132724530013
0,0,0,0,0,4,4,4,5,6,3,3,3,5,3,0.0601492705639819,0.1160989525808381,0.3059206219615393,0.3403265904876127,0.1775045644060279
0,1,0,1,0,7,10,2,8,13,4,5,3,0,1,0.18910088151167,0.5944675053124306,0.0591706729662348,0.1478539860673434,0.009406954142321
0,0,0,1,0,9,9,13,7,12,1,4,3,1,2,0.2381336784418745,0.5587043436184322,0.0699570532461787,0.1037317738372768,0.0294731508562375
0,1,0,1,0,2,8,8,4,11,1,4,4,1,2,0.1781639555321925,0.5972626363300766,0.0455215522595544,0.1414718260794727,0.0375800297987037
0,1,1,1,0,9,5,12,9,13,1,4,3,1,2,0.2358684649697932,0.5991787876864633,0.055146749878747,0.0894981638417337,0.0203078336232627
0,0,0,0,0,9,4,9,2,11,1,4,3,5,2,0.0605818266467677,0.1243881209132978,0.2244375668213983,0.395467967325126,0.1951245182934101
0,0,1,0,0,10,7,9,7,13,1,4,4,1,2,0.198439820092184,0.6065799739295027,0.0660471127799348,0.1029270156471365,0.0260060775512418
1,0,0,1,1,2,7,8,4,5,4,5,3,0,1,0.2130628582235729,0.5370072674280282,0.0726278778943526,0.1549168535991647,0.0223851428548814
0,0,0,0,1,6,10,7,9,6,1,4,4,1,2,0.2085534151895459,0.6100314762091208,0.0713440061051606,0.0824639462589896,0.0276071562371829
0,0,0,0,0,2,10,12,9,7,4,5,3,5,1,0.0598927305684194,0.1363485173489585,0.2756660517883606,0.3279619109702591,0.2001307893240022
0,0,0,1,0,11,12,7,12,13,1,4,3,1,2,0.1936221013893245,0.6301025697933564,0.0719461322725516,0.0885845658177237,0.0157446307270436
1,0,0,0,0,13,5,6,7,4,0,5,2,0,1,0.2195260884013976,0.5345472658146806,0.0792852183724656,0.1264482580317292,0.0401931693797269
0,1,0,0,0,10,10,6,11,2,1,4,4,1,2,0.1824865232169036,0.6070556144548809,0.0840505985016914,0.1176253106835499,0.0087819531429741
0,0,1,1,0,3,5,4,2,11,0,5,4,0,1,0.2503690209961641,0.540704115119893,0.054541378292119,0.1157253001978472,0.0386601853939766
0,0,0,0,0,6,12,9,11,13,4,5,3,5,1,0.0541403978597668,0.1279684712961031,0.3059877596528916,0.3913064426129664,0.1205969285782718
1,0,0,0,1,8,7,7,13,5,1,4,3,1,2,0.1921173200783594,0.6190275311154972,0.0679291440375116,0.085215678296138,0.0357103264724936
0,0,0,0,0,12,9,8,9,6,1,4,2,5,2,0.0446986028256694,0.1138408138265001,0.2678423278251306,0.4055062820685153,0.1681119734541845
0,0,0,1,1,12,9,8,2,2,1,4,3,1,2,0.2079053638766452,0.5745283155663011,0.0688768297838397,0.1274124213934803,0.0212770693797336
0,0,0,1,1,3,10,7,12,2,4,5,3,0,1,0.236416487688033,0.550542435596534,0.0792774872486839,0.1161468258093049,0.0176167636574441
0,1,0,1,0,13,6,5,2,3,4,5,4,0,1,0.2273363234751557,0.5729005897340527,0.0642112573961794,0.1172068928112152,0.018344936583397
0,0,0,0,0,3,7,2,11,4,0,5,3,5,1,0.0606770020462689,0.1138592150574304,0.3289153486697448,0.3771788963281599,0.1193695378983957
0,0,0,0,0,8,8,13,13,11,2,3,3,5,2,0.0502354530738471,0.1157233936562152,0.3180885559505755,0.3603825111102593,0.1555700862091028
0,0,1,1,0,3,2,13,4,8,4,5,3,0,1,0.1886644578567637,0.5872075162375029,0.0721014827234309,0.126927710067556,0.0250988331147463
0,0,0,0,0,13,6,11,13,2,1,4,2,5,2,0.0476298299556188,0.0823035934905231,0.350645121595705,0.3795898225902905,0.1398316323678625
0,0,0,1,0,9,2,11,10,10,1,4,4,1,2,0.2270973562962087,0.5731969937924575,0.0647964319083887,0.1067057459048466,0.0282034720980984
0,0,0,1,0,3,2,7,2,6,1,4,4,1,2,0.2257607791311837,0.5996013974610204,0.0405447858617179,0.0967858510309108,0.0373071865151671
0,0,0,1,0,5,5,5,3,3,6,2,4,6,3,0.065035404228596,0.1209296102549923,0.3041563141534575,0.3547489371015314,0.1551297342614227
0,0,0,0,0,10,3,6,10,10,3,3,3,5,3,0.060002933688372,0.1177689626558572,0.2925894010004163,0.3673224488020493,0.1623162538533051
0,0,0,0,0,8,11,11,7,12,1,4,3,5,2,0.0635465961186592,0.1261219911694138,0.300504851528487,0.3859753625820898,0.12385119860135
1,0,1,0,0,3,7,5,9,2,0,5,3,0,1,0.2177306740661176,0.5931996339497876,0.0625613463348821,0.1002817409165998,0.0262266047326127
1,0,0,1,0,5,10,7,2,2,1,4,3,1,2,0.2142968909899837,0.5419935195529021,0.0607253631128702,0.1651924066730212,0.0177918196712225
0,0,0,0,0,2,5,8,9,8,1,4,3,5,2,0.0522399537675105,0.1348808426681885,0.2267136567610843,0.3858181983355211,0.2003473484676955
1,1,0,0,0,10,6,10,6,6,7,2,3,6,3,0.0392654077876451,0.1269732535316541,0.2897830197020062,0.3689416115829791,0.1750367073957152
0,0,0,1,1,7,6,7,8,11,1,4,4,1,2,0.1754475175394802,0.6361254113189305,0.0599312734979729,0.0893183367352278,0.0391774609083884
0,0,0,0,0,9,4,3,4,3,2,3,3,5,2,0.0620561246266833,0.0958266336982916,0.2833202490202185,0.4349164059908138,0.1238805866639927
0,0,0,0,1,9,5,2,7,12,0,5,3,0,1,0.1846040630713726,0.6011769855742385,0.0782467737678508,0.1192173244395841,0.0167548531469539
0,1,1,0,0,8,6,11,9,11,1,4,2,1,2,0.1888695495026395,0.6270754531303399,0.04718483608171,0.1270277808660569,0.0098423804192534
0,0,0,1,1,11,6,13,4,8,4,5,3,0,1,0.239145544362017,0.5793053715711958,0.065542038399345,0.0943048764101078,0.0217021692573342
0,0,0,0,0,9,4,2,9,11,1,4,3,5,2,0.0496747921855337,0.094855200256938,0.3352722137876065,0.4017029374505438,0.1184948563193779
1,1,0,0,0,12,13,12,3,4,1,4,3,1,2,0.1701853292860171,0.6092881577014583,0.0735312937856906,0.1259850527528304,0.0210101664740035
0,0,0,1,0,7,4,5,2,13,4,5,3,0,1,0.2020061661886883,0.5804785023871416,0.0583063202250754,0.1310444912078702,0.0281645199912243
0,0,0,0,0,10,2,7,10,12,1,4,3,5,2,0.0595323904599344,0.123868538504785,0.3259772272417982,0.2901863795558078,0.2004354642376744
0,1,0,0,0,12,6,2,9,12,1,4,3,1,2,0.1801809945840146,0.6084317645426341,0.0546372910873495,0.1195876387712859,0.0371623110147156
0,0,0,1,0,12,5,4,11,2,4,5,3,0,1,0.1686788152993713,0.5976588243703016,0.0492441255970854,0.1652972835991451,0.0191209511340965
0,1,0,0,0,4,7,7,7,12,3,3,4,3,3,0.1990137023677217,0.6133833509743513,0.0660498535782168,0.0886156560466289,0.032937437033081
1,0,0,0,0,3,7,9,11,5,0,5,3,0,1,0.1857652964939571,0.580504583358993,0.0483679533805347,0.1501157723081882,0.0352463944583269
0,0,0,0,0,5,2,3,2,10,1,4,3,5,2,0.0634701087230889,0.1609976114528098,0.3092730347543251,0.3555763455415916,0.1106828995281845
0,0,1,1,0,5,10,3,6,4,4,5,2,0,1,0.2114660536695897,0.6097885073746618,0.0526963923222078,0.094840519544857,0.0312085270886836
0,0,1,1,0,10,10,12,13,9,1,4,2,1,2,0.2037305644587839,0.5624242452393602,0.0519952168149976,0.1475049401612074,0.0343450333256508
0,1,0,1,0,10,7,4,10,4,3,3,3,2,2,0.2244402024159622,0.5557144873267367,0.07423253185914,0.1330433326752228,0.0125694457229383
1,0,1,0,0,4,8,6,9,2,0,5,3,0,1,0.2235248036009215,0.5661532276327746,0.0590384545760698,0.112287902487644,0.03899561170259
1,0,1,1,0,10,13,8,8,9,1,4,3,1,2,0.2164093246585524,0.5590922406031116,0.0570158071664492,0.1336726246758639,0.0338100028960229
0,0,1,0,0,2,2,5,3,4,1,4,4,1,2,0.1930595542346016,0.6120657660608032,0.0756249233011516,0.102833705493791,0.0164160509096524
1,0,0,0,0,4,11,9,7,3,4,5,2,0,1,0.1933595155628979,0.5598554191469114,0.0493633370477615,0.1583735819892242,0.039048146253205
1,1,0,0,0,7,4,2,9,11,4,5,3,0,1,0.1760617983352314,0.6217848684189291,0.0532653760629179,0.1339928660686089,0.0148950911143125
0,0,0,0,0,7,6,13,4,12,0,5,2,5,1,0.0707566029527222,0.0760499030697137,0.276529101871473,0.3800504502248578,0.1966139418812332
1,0,0,0,0,5,11,2,11,11,2,3,3,3,3,0.1837188558246728,0.5884039154231779,0.0617382155913638,0.1288046232964077,0.0373343898643776
0,0,1,0,1,11,10,12,3,8,0,5,2,0,1,0.2165455691515861,0.5957290055470801,0.060618677242689,0.093917622818453,0.0331891252401917
1,0,1,0,1,7,8,13,7,3,1,4,2,1,2,0.2060330924500368,0.5660253423338214,0.0831177681199334,0.1312960060075184,0.0135277910886898
1,0,1,0,0,9,11,3,8,12,4,5,4,0,1,0.1888568334926745,0.6061481823522074,0.0611228394937789,0.1222855087462784,0.0215866359150606
0,1,0,0,0,9,4,6,4,10,1,4,4,1,2,0.1867910409911705,0.6084121495045695,0.0725026744736219,0.0941609608261078,0.0381331742045302
0,0,0,0,0,2,4,3,6,2,1,4,3,5,2,0.0459644647791563,0.0932176891571735,0.2908409716479963,0.4057962511099852,0.1641806233056885
0,0,1,0,0,9,2,12,12,11,1,4,3,1,2,0.1905321330564168,0.5684279234307955,0.0667925478313323,0.1479352401324005,0.0263121555490547
0,0,0,0,1,4,9,9,13,5,1,4,3,1,2,0.2060192502307575,0.5891008817029846,0.0399471476308067,0.1263129575771172,0.038619762858334
0,0,0,0,0,6,6,2,4,3,1,4,1,5,2,0.0554699905530577,0.135293147905056,0.3002217926906044,0.2919327851143758,0.2170822837369059
0,0,0,0,1,4,6,6,2,8,1,4,3,1,2,0.2221059516009318,0.5588089684903986,0.0852266481089081,0.0927472872613535,0.0411111445384078
0,0,0,1,1,5,4,4,11,13,1,4,3,1,2,0.1651967993343754,0.6449818386187709,0.0490170407779659,0.1314204016865042,0.0093839195823834
1,0,0,0,1,11,10,3,10,3,2,3,3,2,2,0.2652959194878893,0.5516639850449369,0.0554413790797987,0.1060163778121834,0.0215823385751916
1,0,0,0,1,9,10,2,13,2,1,4,3,1,2,0.1986017725801755,0.5753717948828676,0.0696038765258221,0.1465852188392943,0.0098373371718403
0,0,0,1,0,6,6,10,13,12,1,4,3,1,2,0.2067649589471601,0.5845997337542808,0.0551795981077224,0.1209420784940502,0.0325136306967864
1,0,0,1,0,4,2,7,3,7,1,4,3,1,2,0.1765020699315153,0.6093634207723791,0.0571708632220673,0.1211406700715683,0.0358229760024697
0,0,0,0,0,7,12,13,13,10,1,4,3,5,2,0.0512159794445546,0.0888637837577315,0.3526138086615665,0.3639772878855273,0.14332914025062
0,0,0,0,0,9,9,5,9,6,3,3,2,5,3,0.0529196517929126,0.0970463336138274,0.3347134293082475,0.367777328754952,0.1475432565300603
0,1,1,0,0,5,3,8,5,3,3,3,3,2,2,0.2207737460687033,0.6065381240246808,0.0391858880140854,0.1127842841053254,0.0207179577872049
0,0,0,0,0,12,12,5,2,10,1,4,2,5,2,0.0658603692833938,0.1361394913310628,0.2774105286865264,0.425168166257921,0.0954214444410958
1,0,0,1,0,11,6,7,13,7,1,4,3,1,2,0.2345187826822217,0.5290569239080032,0.0757708857596661,0.12400172884855,0.0366516788015588
0,0,0,0,0,12,2,13,5,2,1,4,2,5,2,0.0500295850706315,0.0960146580050282,0.3379561216265334,0.3887803018492596,0.1272193334485471
1,0,1,1,0,13,4,4,6,12,1,4,3,1,2,0.2174201245698096,0.5529287403661999,0.0511405030539913,0.160385744105923,0.018124887904076
0,0,0,0,0,3,13,3,9,12,1,4,2,5,2,0.0506360573249022,0.1044759343700895,0.2959947640212095,0.4432419046234632,0.1056513396603354
0,0,0,1,0,13,2,13,13,11,3,3,4,3,3,0.1870220485077556,0.5885468560777434,0.0862751469429339,0.1132626323861519,0.0248933160854149
0,0,0,0,0,11,9,10,9,7,1,4,3,5,2,0.0626210595501657,0.1300601647938584,0.3131629033398581,0.3250026987119233,0.1691531736041944
0,0,1,1,0,13,10,13,3,3,3,3,3,2,2,0.2216924578114544,0.5608765541473743,0.057965651658378,0.1173514077659233,0.0421139286168699
0,1,0,0,1,10,7,6,12,8,0,5,3,0,1,0.2422726862381413,0.5497930210922971,0.0655867019633922,0.113972527660687,0.0283750630454822
0,0,1,0,1,8,9,5,10,5,1,4,3,1,2,0.1824284596770563,0.6393616602031207,0.0511287554045133,0.0936195192430845,0.033461605472225
0,0,1,0,0,7,2,12,12,7,3,3,3,2,2,0.237003677408704,0.5663265428705379,0.0456761928864496,0.1130970469287036,0.0378965399056048
1,1,0,0,0,12,11,10,4,6,4,5,2,0,1,0.2485208791903769,0.5395916286878006,0.0644308583920732,0.1111288551621466,0.0363277785676024
0,1,1,0,0,2,10,2,9,5,1,4,3,1,2,0.2210902476264936,0.5379222981150249,0.0743714964618433,0.1539476024067911,0.0126683553898468
0,1,0,0,0,11,5,12,12,7,1,4,4,1,2,0.2123142496868418,0.5487311246276295,0.0692591491770048,0.138555630197232,0.0311398463112917
1,0,0,0,0,12,3,6,11,7,0,5,3,0,1,0.1945234258132134,0.5933922744181607,0.0692498132737365,0.0965953454189146,0.0462391410759747
1,0,0,0,1,8,5,12,13,9,4,5,3,0,1,0.1971163617479425,0.5972733319640964,0.0762152233119892,0.0950328296572167,0.0343622533187551
0,0,0,0,0,5,12,2,5,6,1,4,2,5,2,0.0656326729071217,0.1098246732409137,0.3329247236972045,0.3999339861490076,0.0916839440057523
0,1,0,0,1,2,2,11,4,5,1,4,3,1,2,0.1863325090390562,0.5929775281221543,0.0752940924474038,0.1248756374565295,0.020520232934856
0,0,0,1,0,3,9,10,2,10,1,4,3,1,2,0.2051368165952057,0.5536676379817624,0.0693879792752041,0.1579456511437733,0.0138619150040543
1,0,0,0,1,4,8,5,3,12,4,5,4,0,1,0.2502566283830035,0.5413137301242241,0.0691296776907796,0.101004273310582,0.0382956904914105
0,0,0,0,0,13,5,10,6,5,1,4,1,5,2,0.0646326476794689,0.1055466520785205,0.2613978053155946,0.4131060914036303,0.1553168035227855
0,0,0,0,0,12,12,5,5,12,6,2,3,6,3,0.0532274948572374,0.071653576670263,0.3150567138710134,0.3769791666303189,0.1830830479711671
0,1,0,0,0,7,7,6,9,13,1,4,3,1,2,0.2119554103149271,0.5668926043197156,0.0733750328964602,0.1119362393708898,0.0358407130980073
1,1,0,0,0,8,13,5,5,3,1,4,3,1,2,0.191086953898985,0.5994475752641918,0.0657554791905176,0.1228890248671176,0.0208209667791879
